"ID","model_dir","question","correct_answer","model_output"
"1","checkpoint-1000","where does this belong to?","endocrine system","oral"
"2","checkpoint-1000","does malignant adenoma show keratoacanthoma?","no","no"
"3","checkpoint-1000","what is present?","cardiovascular","cardiovascular"
"4","checkpoint-1000","is kidney present?","yes","yes"
"5","checkpoint-1000","what does the granulomatous response take the form of?","a three-dimensional sphere","a dense aggregate of epithelioid cells and giant cells"
"6","checkpoint-1000","what is present?","gastrointestinal","spleen"
"7","checkpoint-1000","is nervous present?","yes","yes"
"8","checkpoint-1000","what is present?","hematologic","oral"
"9","checkpoint-1000","does the wall of the stomach in the region of pyloric canal show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","no","yes"
"10","checkpoint-1000","what is present?","oral","oral"
"11","checkpoint-1000","is hepatobiliary present?","yes","yes"
"12","checkpoint-1000","what is present?","spleen","heart"
"13","checkpoint-1000","what are present?","extremities","extremities"
"14","checkpoint-1000","does this image show lung, bronchopneumonia, bacterial?","yes","yes"
"15","checkpoint-1000","does this image adrenal both adrenals external views focal hemorrhages do not know history looks like placental abruption?","yes","yes"
"16","checkpoint-1000","does this image show child has polycystic disease?","yes","yes"
"17","checkpoint-1000","are both cytotrophoblastic cells with single central nuclei and syncytiotrophoblastic cells with multiple dark nuclei embedded in eosinophilic cytoplasm present?","yes","yes"
"18","checkpoint-1000","does rugal demonstrate an area of increased uptake corresponding to the left inferior parathyroid gland arrow?","no","yes"
"19","checkpoint-1000","what is present?","hepatobiliary","lung"
"20","checkpoint-1000","where is this?","urinary","nervous"
"21","checkpoint-1000","is heel ulcer present?","no","no"
"22","checkpoint-1000","what has relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?","normal skeletal muscle tissue","muscle"
"23","checkpoint-1000","how are such lesions?","painless despite the presence of ulceration","caused by trauma"
"24","checkpoint-1000","what does this image show?","normal uterus","adenocarcinoma"
"25","checkpoint-1000","where is this area in the body?","heart","brain"
"26","checkpoint-1000","is fracture present?","no","no"
"27","checkpoint-1000","what does this image show?","heart","heart"
"28","checkpoint-1000","is electron micrographs demonstrating fiber present?","yes","no"
"29","checkpoint-1000","is endothelial injury used for demonstration of microbes?","no","yes"
"30","checkpoint-1000","is liver present?","yes","yes"
"31","checkpoint-1000","does neurofibroma show interlacing bundles of spindle-shaped cells separate by mucoid matrix?","yes","no"
"32","checkpoint-1000","does polyarteritis nodosa show normal appendix?","no","no"
"33","checkpoint-1000","is polycystic disease infant present?","no","yes"
"34","checkpoint-1000","is one collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma?","yes","yes"
"35","checkpoint-1000","what is present?","endocrine","liver"
"36","checkpoint-1000","does this image show 7yo with craniopharyngioma and underdeveloped penis?","yes","yes"
"37","checkpoint-1000","what is present?","cardiovascular","amyloidosis"
"38","checkpoint-1000","what is present?","vasculature","female reproductive"
"39","checkpoint-1000","what is present?","acute lymphocytic leukemia","adenocarcinoma"
"40","checkpoint-1000","is oral present?","yes","yes"
"41","checkpoint-1000","is spleen present?","yes","yes"
"42","checkpoint-1000","where is this?","urinary","urinary"
"43","checkpoint-1000","does mesothelioma show ductopenia?","no","no"
"44","checkpoint-1000","is peritoneum present?","yes","yes"
"45","checkpoint-1000","what are natomical subdivisions of the stomach correlated with of gastric mucosa in different regions?","anatomical histological appearance regions","fundus, cardia, body, pylorus"
"46","checkpoint-1000","is peritoneum present?","yes","yes"
"47","checkpoint-1000","is natural color present?","no","no"
"48","checkpoint-1000","is anencephaly present?","no","no"
"49","checkpoint-1000","is lymph node present?","yes","yes"
"50","checkpoint-1000","what does this image show?","kidney","kidney"
"51","checkpoint-1000","what is shortened by compression fractures?","the osteoporotic vertebral body","bone"
"52","checkpoint-1000","do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","no","yes"
"53","checkpoint-1000","what is present?","respiratory","lung"
"54","checkpoint-1000","is cardiovascular present?","yes","yes"
"55","checkpoint-1000","is anomalous origin present?","no","yes"
"56","checkpoint-1000","what is present?","nervous","brain"
"57","checkpoint-1000","what is scanty connective tissue stroma seen between?","the cavernous spaces","osteoclasts"
"58","checkpoint-1000","what is present?","female reproductive","vasculature"
"59","checkpoint-1000","what is present?","leukoplakia vocal cord","female reproductive"
"60","checkpoint-1000","is renal glomerulus composed of haphazardly interconnecting trabeculae of woven bone that are rimmed by prominent osteoblasts?","no","yes"
"61","checkpoint-1000","what is present?","mesothelioma","brain"
"62","checkpoint-1000","are x-ray intramyocardial arteries present?","no","no"
"63","checkpoint-1000","what is present?","vasculature","vasculature"
"64","checkpoint-1000","what is present?","hepatobiliary","liver"
"65","checkpoint-1000","why does this image show obvious gangrenous necrosis?","due to shock or embolism postoperative cardiac surgery","due to vascular occlusion"
"66","checkpoint-1000","where is this?","lung","respiratory"
"67","checkpoint-1000","is hepatobiliary present?","yes","yes"
"68","checkpoint-1000","what does this image show?","normal breast","brain"
"69","checkpoint-1000","is retroperitoneal liposarcoma present?","yes","yes"
"70","checkpoint-1000","what does this image show?","cellular detail well shown","lymphoma"
"71","checkpoint-1000","what is present?","liver","lung"
"72","checkpoint-1000","is odontoid process subluxation with narrowing of foramen magnum present?","yes","yes"
"73","checkpoint-1000","what does this image show?","skin","lymphoma"
"74","checkpoint-1000","what is present (top center)?","a perimysial interfascicular septum containing a blood vessel","muscle"
"75","checkpoint-1000","is leiomyosarcoma present?","no","yes"
"76","checkpoint-1000","does this image show heart, acute myocardial infarction?","yes","yes"
"77","checkpoint-1000","what looks like an ascending cholangitis?","this","liver"
"78","checkpoint-1000","does the blue area demonstrate a well-demarcated nodule at the right of the field, with a portion of urethra seen to the left?","no","yes"
"79","checkpoint-1000","is inset enlarged diffusely?","no","yes"
"80","checkpoint-1000","where is this?","oral","oral"
"81","checkpoint-1000","does subcapsular hematoma show external view of massively enlarged spleen?","no","yes"
"82","checkpoint-1000","is metastatic carcinoma breast present?","no","yes"
"83","checkpoint-1000","what joined chest and abdomen slide shows opened chest with two hearts?","this","heart"
"84","checkpoint-1000","what does this image show?","brain","brain"
"85","checkpoint-1000","what is present?","liver","lymphoma"
"86","checkpoint-1000","what is present?","peritoneum","amyloidosis"
"87","checkpoint-1000","what does this image show?","ductopenia","hepatitis c virus"
"88","checkpoint-1000","is vasculature present?","yes","yes"
"89","checkpoint-1000","is hepatobiliary present?","yes","yes"
"90","checkpoint-1000","what does von recklinghausen?","disease is present","neurofibromatosis"
"91","checkpoint-1000","what is present?","ameloblastoma","skin"
"92","checkpoint-1000","what does this image show?","parathyroid","lung"
