ID,question,correct_answer,model_output
1,what have lost their nuclei?,neutrophils,the red areas
2,whose nuclei have been lost?,neutrophils,the tumour
3,are two small pulmonary arterioles packed with laminated swirls of fetal squamous cells?,yes,yes
4,what is acute viral hepatitis characterized by?,predominantly lymphocytic infiltrate,marked portal expansion by lymphocytes and bridging lymphoid follicles
5,what do the cells have?,wavy nuclei,pleomorphic nuclei with prominent nucleoli
6,do the cells have wavy nuclei?,yes,yes
7,do individual myocardial fibres have wavy nuclei?,no,yes
8,where is this area in the body?,abdomen,abdomen
9,what does this image show?,peritoneal carcinomatosis,opened uterus with large myomatous tumor
10,"does this image show peritoneal carcinomatosis, metastatic tumor covering all of the abdominal viscera?",yes,yes
11,where is this area in the body?,abdomen,abdomen
12,what does this image show?,hemorrhage secondary to ruptured aneurysm,brain
13,does this image show hemorrhage secondary to ruptured aneurysm?,yes,yes
14,does abdomen show hemorrhage secondary to ruptured aneurysm?,no,no
15,how is acute viral hepatitis characterized?,by predominantly lymphocytic infiltrate,by numerous atypical lymphocytes
16,what is present?,abdomen,brain
17,is abdomen present?,yes,yes
18,where is this area in the body?,abdomen,abdomen
19,what is present?,abdomen,brain
20,why does this image show bowel in situ with diffuse thickening of peritoneal surfaces?,due to metastatic carcinoma breast primary i think,due to adenocarcinoma
21,what does this image show?,bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,enlarged kidneys
22,how does this image show bowel in situ?,with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,with multiple
23,does this image show bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think?,yes,yes
24,what is present?,abdomen,adrenal
25,is abdomen present?,yes,yes
26,is acute viral hepatitis characterize by a predominantly lymphocytic infiltrate?,yes,yes
27,where is this area in the body?,abdomen,abdomen
28,what is present?,abdomen,adrenal
29,when does this image show a photo taken?,during life large lesion,during autopsy
30,what does this image show?,a photo taken during life large lesion,conjoined twins cephalothoracopagus janiceps
31,does this image show a photo taken during life large lesion?,yes,yes
32,does omphalocele show a photo taken during life large lesion?,no,yes
33,what is present?,abdomen,extremities
34,is abdomen present?,yes,no
35,what is present?,omphalocele,extremities
36,is omphalocele present?,yes,yes
37,is the entire thickness of the epithelium characterize by a predominantly lymphocytic infiltrate?,no,yes
38,is omentum present?,no,no
39,where is this area in the body?,abdomen,lower part of body
40,what taken during life large lesion?,a photo,view of back
41,what is a photo taken?,during life large lesion,at autopsy
42,what is present?,abdomen,extremities
43,what is present?,omphalocele,extremities
44,how is a photo taken during life lesion?,large,close-up
45,what does this image show?,fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit,opened uterus with two small myomas
46,does this image show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,yes,yes
47,does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,no,no
48,is schematic diagram of intimal thickening emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,yes,yes
49,what is present?,abdomen,female reproductive
50,is abdomen present?,yes,yes
51,where is this area in the body?,abdomen,female reproductive system
52,what is present?,abdomen,female reproductive
53,what does this image show?,close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary,spleen
54,does this image show close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary?,yes,yes
55,what is present?,abdomen,abdomen
56,is abdomen present?,yes,yes
57,what is present?,peritoneum,abdomen
58,is peritoneum present?,yes,yes
59,did nuclear pleomorphism emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,no,yes
60,where is this area in the body?,abdomen,abdomen
61,what is present?,abdomen,abdomen
62,what is present?,peritoneum,abdomen
63,does this image show opened abdomen with ischemic appearing intestines bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,yes,yes
64,what is present?,abdomen,female genitalia
65,is abdomen present?,yes,yes
66,is tuberculous peritonitis present?,no,yes
67,what is present?,peritoneum,female genitalia
68,is peritoneum present?,yes,yes
69,is an opened peritoneal cavity cause by fibrous band strangulation present?,no,yes
70,what is moderately narrowed by this eccentric lesion?,the lumen,right coronary artery
71,where is this area in the body?,abdomen,pelvis
72,what bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?,opened abdomen with ischemic appearing intestines,to peritoneum
73,what is opened abdomen with ischemic appearing intestines bound?,by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma,by fibrous bands
74,what is present?,abdomen,female genitalia
75,what is present?,peritoneum,female genitalia
76,what does this image show?,a very close-up view of typical gross lesions,skin
77,does this image show a very close-up view of typical gross lesions?,yes,yes
78,what is present?,abdomen,skin
79,is abdomen present?,yes,yes
80,is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no,yes
81,what is the lumen narrowed by?,eccentric lesion,thrombus
82,what is present?,peritoneum,skin
83,is peritoneum present?,yes,yes
84,is tuberculosis present?,no,yes
85,what is present?,tuberculous peritonitis,skin
86,is tuberculous peritonitis present?,yes,yes
87,where is this area in the body?,abdomen,abdomen
88,what is present?,abdomen,skin
89,what is present?,peritoneum,skin
90,what is present?,tuberculous peritonitis,skin
91,what does this image show?,massive node enlargement like a lymphoma,large hemorrhagic mass with multiple nodules
92,"is the lumen moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?",yes,yes
93,does this image show massive node enlargement like a lymphoma?,yes,yes
94,does abdomen show massive node enlargement like a lymphoma?,no,yes
95,what is present?,abdomen,gastrointestinal
