"ID","model_dir","question","correct_answer","model_output"
"1","checkpoint-10000","where does this belong to?","endocrine system","endocrine system"
"2","checkpoint-10000","does malignant adenoma show keratoacanthoma?","no","no"
"3","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"4","checkpoint-10000","is kidney present?","yes","yes"
"5","checkpoint-10000","what does the granulomatous response take the form of?","a three-dimensional sphere","a dense infiltrate of macrophages"
"6","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"7","checkpoint-10000","is nervous present?","yes","yes"
"8","checkpoint-10000","what is present?","hematologic","spleen"
"9","checkpoint-10000","does the wall of the stomach in the region of pyloric canal show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","no","yes"
"10","checkpoint-10000","what is present?","oral","oral"
"11","checkpoint-10000","is hepatobiliary present?","yes","yes"
"12","checkpoint-10000","what is present?","spleen","spleen"
"13","checkpoint-10000","what are present?","extremities","extremities"
"14","checkpoint-10000","does this image show lung, bronchopneumonia, bacterial?","yes","yes"
"15","checkpoint-10000","does this image adrenal both adrenals external views focal hemorrhages do not know history looks like placental abruption?","yes","yes"
"16","checkpoint-10000","does this image show child has polycystic disease?","yes","yes"
"17","checkpoint-10000","are both cytotrophoblastic cells with single central nuclei and syncytiotrophoblastic cells with multiple dark nuclei embedded in eosinophilic cytoplasm present?","yes","yes"
"18","checkpoint-10000","does rugal demonstrate an area of increased uptake corresponding to the left inferior parathyroid gland arrow?","no","no"
"19","checkpoint-10000","what is present?","hepatobiliary","hepatobiliary"
"20","checkpoint-10000","where is this?","urinary","oral"
"21","checkpoint-10000","is heel ulcer present?","no","no"
"22","checkpoint-10000","what has relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?","normal skeletal muscle tissue","muscle"
"23","checkpoint-10000","how are such lesions?","painless despite the presence of ulceration","red"
"24","checkpoint-10000","what does this image show?","normal uterus","stomach"
"25","checkpoint-10000","where is this area in the body?","heart","abdomen"
"26","checkpoint-10000","is fracture present?","no","no"
"27","checkpoint-10000","what does this image show?","heart","heart"
"28","checkpoint-10000","is electron micrographs demonstrating fiber present?","yes","no"
"29","checkpoint-10000","is endothelial injury used for demonstration of microbes?","no","no"
"30","checkpoint-10000","is liver present?","yes","yes"
"31","checkpoint-10000","does neurofibroma show interlacing bundles of spindle-shaped cells separate by mucoid matrix?","yes","no"
"32","checkpoint-10000","does polyarteritis nodosa show normal appendix?","no","no"
"33","checkpoint-10000","is polycystic disease infant present?","no","yes"
"34","checkpoint-10000","is one collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma?","yes","yes"
"35","checkpoint-10000","what is present?","endocrine","hematologic"
"36","checkpoint-10000","does this image show 7yo with craniopharyngioma and underdeveloped penis?","yes","yes"
"37","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"38","checkpoint-10000","what is present?","vasculature","female reproductive"
"39","checkpoint-10000","what is present?","acute lymphocytic leukemia","female reproductive"
"40","checkpoint-10000","is oral present?","yes","yes"
"41","checkpoint-10000","is spleen present?","yes","yes"
"42","checkpoint-10000","where is this?","urinary","urinary"
"43","checkpoint-10000","does mesothelioma show ductopenia?","no","no"
"44","checkpoint-10000","is peritoneum present?","yes","yes"
"45","checkpoint-10000","what are natomical subdivisions of the stomach correlated with of gastric mucosa in different regions?","anatomical histological appearance regions","histological features"
"46","checkpoint-10000","is peritoneum present?","yes","yes"
"47","checkpoint-10000","is natural color present?","no","no"
"48","checkpoint-10000","is anencephaly present?","no","no"
"49","checkpoint-10000","is lymph node present?","yes","yes"
"50","checkpoint-10000","what does this image show?","kidney","kidney"
"51","checkpoint-10000","what is shortened by compression fractures?","the osteoporotic vertebral body","the vertebral bodies"
"52","checkpoint-10000","do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","no","no"
"53","checkpoint-10000","what is present?","respiratory","respiratory"
"54","checkpoint-10000","is cardiovascular present?","yes","yes"
"55","checkpoint-10000","is anomalous origin present?","no","no"
"56","checkpoint-10000","what is present?","nervous","nervous"
"57","checkpoint-10000","what is scanty connective tissue stroma seen between?","the cavernous spaces","the tumour cells"
"58","checkpoint-10000","what is present?","female reproductive","female reproductive"
"59","checkpoint-10000","what is present?","leukoplakia vocal cord","gastrointestinal"
"60","checkpoint-10000","is renal glomerulus composed of haphazardly interconnecting trabeculae of woven bone that are rimmed by prominent osteoblasts?","no","yes"
"61","checkpoint-10000","what is present?","mesothelioma","joints"
"62","checkpoint-10000","are x-ray intramyocardial arteries present?","no","no"
"63","checkpoint-10000","what is present?","vasculature","cardiovascular"
"64","checkpoint-10000","what is present?","hepatobiliary","hepatobiliary"
"65","checkpoint-10000","why does this image show obvious gangrenous necrosis?","due to shock or embolism postoperative cardiac surgery","due to shock"
"66","checkpoint-10000","where is this?","lung","urinary"
"67","checkpoint-10000","is hepatobiliary present?","yes","yes"
"68","checkpoint-10000","what does this image show?","normal breast","brain"
"69","checkpoint-10000","is retroperitoneal liposarcoma present?","yes","yes"
"70","checkpoint-10000","what does this image show?","cellular detail well shown","oil wrights"
"71","checkpoint-10000","what is present?","liver","hepatobiliary"
"72","checkpoint-10000","is odontoid process subluxation with narrowing of foramen magnum present?","yes","yes"
"73","checkpoint-10000","what does this image show?","skin","kidney"
"74","checkpoint-10000","what is present (top center)?","a perimysial interfascicular septum containing a blood vessel","muscle"
"75","checkpoint-10000","is leiomyosarcoma present?","no","no"
"76","checkpoint-10000","does this image show heart, acute myocardial infarction?","yes","yes"
"77","checkpoint-10000","what looks like an ascending cholangitis?","this","the liver"
"78","checkpoint-10000","does the blue area demonstrate a well-demarcated nodule at the right of the field, with a portion of urethra seen to the left?","no","yes"
"79","checkpoint-10000","is inset enlarged diffusely?","no","no"
"80","checkpoint-10000","where is this?","oral","gastrointestinal"
"81","checkpoint-10000","does subcapsular hematoma show external view of massively enlarged spleen?","no","no"
"82","checkpoint-10000","is metastatic carcinoma breast present?","no","no"
"83","checkpoint-10000","what joined chest and abdomen slide shows opened chest with two hearts?","this","no"
"84","checkpoint-10000","what does this image show?","brain","brain"
"85","checkpoint-10000","what is present?","liver","hepatobiliary"
"86","checkpoint-10000","what is present?","peritoneum","joints"
"87","checkpoint-10000","what does this image show?","ductopenia","ductopenia"
"88","checkpoint-10000","is vasculature present?","yes","yes"
"89","checkpoint-10000","is hepatobiliary present?","yes","yes"
"90","checkpoint-10000","what does von recklinghausen?","disease is present","pork-shaped"
"91","checkpoint-10000","what is present?","ameloblastoma","oral"
"92","checkpoint-10000","what does this image show?","parathyroid","lung"
"93","checkpoint-10000","is myocardium present?","yes","yes"
"94","checkpoint-10000","are chematic mechanisms villous hypertrophy of the synovium and marked mononuclear inflammatory cell infiltrate in synovial membrane with formation of lymphoid follicles at places?","no","no"
"95","checkpoint-10000","where is this part in?","spleen","abdomen"
"96","checkpoint-10000","where does this belong to?","endocrine system","endocrine system"
"97","checkpoint-10000","is leiomyomas present?","no","no"
"98","checkpoint-10000","what does this image show?","skeletal muscle","skeletal muscle"
"99","checkpoint-10000","what is surrounded by palisades of macrophages and plasma cells marginated peripherally by fibroblasts?","central coagulative necrosis","the tumour"
"100","checkpoint-10000","where is this from?","vasculature","female reproductive system"
"101","checkpoint-10000","is acid present?","no","no"
"102","checkpoint-10000","what does this image show?","white muscle","muscle"
"103","checkpoint-10000","is muscle present?","yes","yes"
"104","checkpoint-10000","what are present?","no","extremities"
"105","checkpoint-10000","is disease present?","yes","no"
"106","checkpoint-10000","is optic nerve present?","no","no"
"107","checkpoint-10000","does this image show pancrease, islet amyloid, diabetes mellitus?","yes","yes"
"108","checkpoint-10000","does the sectioned surface of the lung show grey-brown, firm area of consolidation affecting a lobe?","yes","yes"
"109","checkpoint-10000","is gastrointestinal present?","yes","yes"
"110","checkpoint-10000","does mucicarmine show whorls of smooth muscle cells which are spindle-shaped, having abundant cytoplasm and oval nuclei?","no","no"
"111","checkpoint-10000","does cervical leiomyoma show fracture line well shown very thin skull eggshell type?","no","no"
"112","checkpoint-10000","what is present?","thymus","joints"
"113","checkpoint-10000","what is present?","bone","bone"
"114","checkpoint-10000","what does this image show?","high fibrous callus with osteoid and osteoblasts","joints"
"115","checkpoint-10000","is nodular tumor present?","no","no"
"116","checkpoint-10000","is myelomonocytic leukemia present?","no","no"
"117","checkpoint-10000","what does this image show?","wide fetal zone 2 days old","brain"
"118","checkpoint-10000","is soft tissue present?","yes","yes"
"119","checkpoint-10000","do liver cells show ballooning degeneration and necrosis with some containing mallory 's hyalin inbox?","yes","yes"
"120","checkpoint-10000","what does this image show?","lung","lung"
"121","checkpoint-10000","where is this part in the figure?","endocrine system","endocrine system"
"122","checkpoint-10000","what does this image show?","heart","heart"
"123","checkpoint-10000","what is present?","nervous","nervous"
"124","checkpoint-10000","does metastatic carcinoma prostate show dr garcia tumors 25?","no","no"
"125","checkpoint-10000","does fixed tissue show recurrent hepatitis c virus?","no","no"
"126","checkpoint-10000","what is present?","joints","joints"
"127","checkpoint-10000","is hand present?","no","no"
"128","checkpoint-10000","is peritoneum present?","no","no"
"129","checkpoint-10000","what is present?","downs syndrome","congenital hip dysplasia"
"130","checkpoint-10000","is glomerulosa present?","no","no"
"131","checkpoint-10000","where is this?","urinary","urinary"
"132","checkpoint-10000","where does this belong to?","endocrine system","female reproductive system"
"133","checkpoint-10000","is broad base also identified?","no","no"
"134","checkpoint-10000","is hepatobiliary present?","yes","yes"
"135","checkpoint-10000","is this good yellow color slide present?","no","no"
"136","checkpoint-10000","what is present?","gastrointestinal","gastrointestinal"
"137","checkpoint-10000","how is this typical thecoma with yellow foci quite?","obvious","good"
"138","checkpoint-10000","where is this part in?","spleen","gastrointestinal system"
"139","checkpoint-10000","what stain?","alpha smooth muscle actin immunohistochemical","collagen"
"140","checkpoint-10000","what is present?","linear fracture in occiput","bone"
"141","checkpoint-10000","what does this image show?","sternum saggital section obvious neoplasm from lung scar carcinoma","fixed tissue"
"142","checkpoint-10000","is hepatobiliary present?","yes","yes"
"143","checkpoint-10000","what is one collapsed?","vertebra and filled with neoplasm looks like breast carcinoma but an unclassified lymphoma","vertebral bodies"
"144","checkpoint-10000","does exposure show primary biliary cirrhosis?","no","no"
"145","checkpoint-10000","what does this image show?","brain","colon biopsy"
"146","checkpoint-10000","is pus in test tube present?","no","no"
"147","checkpoint-10000","is there no ovary present to indicate the location of the tumor mass?","yes","no"
"148","checkpoint-10000","what are present?","extremities","extremities"
"149","checkpoint-10000","does bone biopsy show a band-like mononuclear infiltrate with a sharply-demarcated lower border?","no","no"
"150","checkpoint-10000","is fat necrosis present?","no","no"
"151","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"152","checkpoint-10000","does beckwith-wiedemann syndrome show heart transplant, 2 years post surgery?","no","no"
"153","checkpoint-10000","is respiratory present?","yes","yes"
"154","checkpoint-10000","what does this image show?","islet cell carcinoma","brain"
"155","checkpoint-10000","does angiogram show postmortangiogram with apparent lesions in proximal right coronary?","no","yes"
"156","checkpoint-10000","does breast show vasculitis, polyarteritis nodosa?","no","no"
"157","checkpoint-10000","are laceration of the scalp seen microscopically?","no","no"
"158","checkpoint-10000","what recklinghausens disease is present?","von","yes"
"159","checkpoint-10000","does this image show a very close-up view of typical gross lesions?","yes","yes"
"160","checkpoint-10000","what is present?","endocrine","endocrine"
"161","checkpoint-10000","is joints present?","yes","yes"
"162","checkpoint-10000","is fibrinous peritonitis present?","no","no"
"163","checkpoint-10000","is the unknown origin in mandible a guess?","yes","no"
"164","checkpoint-10000","what is present?","female reproductive","abdomen"
"165","checkpoint-10000","how does this image show vertebral body gross is islands of tumor?","with stimulated new bone formation a desmoplastic reaction to the additional micros are and","with osteoid and osteoblasts"
"166","checkpoint-10000","what is present?","endocrine","endocrine"
"167","checkpoint-10000","what is present?","joints","hand"
"168","checkpoint-10000","what is present?","cardiovascular","cardiovascular"
"169","checkpoint-10000","is bone marrow present?","yes","yes"
"170","checkpoint-10000","what are present?","extremities","extremities"
"171","checkpoint-10000","what are the characteristic histologic features?","villous hypertrophy of the synovium and marked mononuclear inflammatory cell","intracellular inclusions"
"172","checkpoint-10000","does this image show prosthetic mitral valve, carpentier-edwards valve bovine pericardial bioprosthesis?","yes","yes"
"173","checkpoint-10000","how does this image show portion of nose typical exophytic lesion?","with heaped-up margins and central ulceration","with obvious metastatic nodes"
"174","checkpoint-10000","where is this?","pancreas","gastrointestinal"
"175","checkpoint-10000","is pus in test tube present?","no","no"
"176","checkpoint-10000","what is the vessel wall infiltrated with?","leukocytes","neutrophils"
"177","checkpoint-10000","is chronic lymphocytic leukemia necrotizing?","no","no"
"178","checkpoint-10000","what is present?","liver","hepatobiliary"
"179","checkpoint-10000","does this image show close-up of cut surface?","yes","yes"
"180","checkpoint-10000","what is present?","hematologic","nervous"
"181","checkpoint-10000","what does this image show?","facial abscess","sarcoidosis"
"182","checkpoint-10000","is hepatobiliary present?","yes","yes"
"183","checkpoint-10000","where is this?","skin","skin"
"184","checkpoint-10000","what is present?","hepatobiliary","hepatobiliary"
"185","checkpoint-10000","is opened bladder with median lobe protruding into trigone area also present?","no","no"
"186","checkpoint-10000","is follicular lymphoma contrasted with structure of normal lymph node a?","yes","yes"
"187","checkpoint-10000","the mature red cells are released into circulation , which on completion of whose lifespan of 120 days , die?","their","120 days"
"188","checkpoint-10000","what does this image show?","periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques","esophageal varices"
"189","checkpoint-10000","what is present?","endocrine","gastrointestinal"
"190","checkpoint-10000","what does microscopic examination reveal?","large cells with distinct cell borders","numerous atypical large lymphocytes"
"191","checkpoint-10000","does this image show normal lung?","yes","yes"
"192","checkpoint-10000","is leiomyoma present?","yes","yes"
"193","checkpoint-10000","what is present?","hematologic","blood"
"194","checkpoint-10000","is vasculature present?","yes","yes"
"195","checkpoint-10000","is hepatobiliary present?","yes","yes"
"196","checkpoint-10000","is this typical thecoma with yellow foci present?","no","no"
"197","checkpoint-10000","what does the upper dermis show?","a band-like mononuclear infiltrate with a sharply-demarcated lower border","numerous atypical squamous cells"
"198","checkpoint-10000","does this image show numerous large thrombi?","yes","yes"
"199","checkpoint-10000","is mesothelioma present?","no","no"
"200","checkpoint-10000","what are present?","extremities","extremities"
"201","checkpoint-10000","where is this?","skin","gastrointestinal"
"202","checkpoint-10000","is digital infarcts bacterial endocarditis present?","no","no"
"203","checkpoint-10000","does yellow color show opened cranial vault with many frontal and right temporal fossa fractures?","no","no"
"204","checkpoint-10000","does hepatobiliary show kidney, infarct?","no","no"
"205","checkpoint-10000","did these cells spread to lungs, liver, spleen, kidneys and brain?","no","yes"
"206","checkpoint-10000","is peritoneum present?","no","no"
"207","checkpoint-10000","what is identical to that of seminoma of the testis?","histologic appearance","the tumour"
"208","checkpoint-10000","what is present?","metastatic carcinoma lung","hematologic"
"209","checkpoint-10000","what is atherosclerosis left?","anterior descending coronary artery","coronary artery"
