Wall time,Step,Value
1743973875.3196008,500,0.5551000237464905
1743976879.9469335,1000,0.3246000111103058
1743980763.631198,1500,0.2980000078678131
1743983768.9644134,2000,0.28450000286102295
1743987655.9671223,2500,0.2831999957561493
1743990663.162408,3000,0.2671999931335449
1743994551.726168,3500,0.2599000036716461
1743997558.029511,4000,0.25850000977516174
1744001447.7087808,4500,0.2483000010251999
1744004451.0859284,5000,0.2401999980211258
1744008336.0988355,5500,0.22280000150203705
1744011338.8329132,6000,0.227400004863739
1744015226.8554075,6500,0.22429999709129333
1744018232.7680516,7000,0.2126999944448471
1744022116.4108012,7500,0.20559999346733093
1744025117.999403,8000,0.21209999918937683
1744029007.0465908,8500,0.2029999941587448
1744032012.0741706,9000,0.2037999927997589
1744035899.6292732,9500,0.2004999965429306
