"ID","model","question","correct_answer","model_output"
"1","checkpoint-10000","where does this belong to?","endocrine system","cardiovascular"
"2","checkpoint-10000","does malignant adenoma show keratoacanthoma?","no","no"
"3","checkpoint-10000","what is present?","cardiovascular","gastrointestinal"
"4","checkpoint-10000","is kidney present?","yes","yes"
"5","checkpoint-10000","what does the granulomatous response take the form of?","a three-dimensional sphere","a nodular pattern"
"6","checkpoint-10000","what is present?","gastrointestinal","oral"
"7","checkpoint-10000","is nervous present?","yes","yes"
"8","checkpoint-10000","what is present?","hematologic","gastrointestinal"
"9","checkpoint-10000","does the wall of the stomach in the region of pyloric canal show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","no","yes"
"10","checkpoint-10000","what is present?","oral","oral"
"11","checkpoint-10000","is hepatobiliary present?","yes","no"
"12","checkpoint-10000","what is present?","spleen","gastrointestinal"
"13","checkpoint-10000","what are present?","extremities","skin"
"14","checkpoint-10000","does this image show lung, bronchopneumonia, bacterial?","yes","yes"
"15","checkpoint-10000","does this image adrenal both adrenals external views focal hemorrhages do not know history looks like placental abruption?","yes","no"
"16","checkpoint-10000","does this image show child has polycystic disease?","yes","no"
"17","checkpoint-10000","are both cytotrophoblastic cells with single central nuclei and syncytiotrophoblastic cells with multiple dark nuclei embedded in eosinophilic cytoplasm present?","yes","no"
"18","checkpoint-10000","does rugal demonstrate an area of increased uptake corresponding to the left inferior parathyroid gland arrow?","no","yes"
"19","checkpoint-10000","what is present?","hepatobiliary","gastrointestinal"
"20","checkpoint-10000","where is this?","urinary","gastrointestinal"
"21","checkpoint-10000","is heel ulcer present?","no","no"
"22","checkpoint-10000","what has relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?","normal skeletal muscle tissue","smooth muscle"
"23","checkpoint-10000","how are such lesions?","painless despite the presence of ulceration","usually benign"
"24","checkpoint-10000","what does this image show?","normal uterus","breast"
"25","checkpoint-10000","where is this area in the body?","heart","liver"
"26","checkpoint-10000","is fracture present?","no","no"
"27","checkpoint-10000","what does this image show?","heart","heart"
"28","checkpoint-10000","is electron micrographs demonstrating fiber present?","yes","no"
"29","checkpoint-10000","is endothelial injury used for demonstration of microbes?","no","no"
"30","checkpoint-10000","is liver present?","yes","yes"
"31","checkpoint-10000","does neurofibroma show interlacing bundles of spindle-shaped cells separate by mucoid matrix?","yes","yes"
"32","checkpoint-10000","does polyarteritis nodosa show normal appendix?","no","no"
"33","checkpoint-10000","is polycystic disease infant present?","no","no"
"34","checkpoint-10000","is one collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma?","yes","no"
"35","checkpoint-10000","what is present?","endocrine","spleen"
"36","checkpoint-10000","does this image show 7yo with craniopharyngioma and underdeveloped penis?","yes","yes"
"37","checkpoint-10000","what is present?","cardiovascular","skeletal muscle"
"38","checkpoint-10000","what is present?","vasculature","female reproductive system"
"39","checkpoint-10000","what is present?","acute lymphocytic leukemia","gastrointestinal"
"40","checkpoint-10000","is oral present?","yes","yes"
"41","checkpoint-10000","is spleen present?","yes","yes"
"42","checkpoint-10000","where is this?","urinary","chest"
"43","checkpoint-10000","does mesothelioma show ductopenia?","no","no"
"44","checkpoint-10000","is peritoneum present?","yes","yes"
"45","checkpoint-10000","what are natomical subdivisions of the stomach correlated with of gastric mucosa in different regions?","anatomical histological appearance regions","the histological appearance"
"46","checkpoint-10000","is peritoneum present?","yes","yes"
"47","checkpoint-10000","is natural color present?","no","no"
"48","checkpoint-10000","is anencephaly present?","no","no"
"49","checkpoint-10000","is lymph node present?","yes","yes"
"50","checkpoint-10000","what does this image show?","kidney","heart"
"51","checkpoint-10000","what is shortened by compression fractures?","the osteoporotic vertebral body","bone"
"52","checkpoint-10000","do immature myeloid cells indicate foci of hepatocytes undergoing necrosis in this pas-d-stained biopsy from a patient with acute hepatitis b?","no","no"
"53","checkpoint-10000","what is present?","respiratory","gastrointestinal"
"54","checkpoint-10000","is cardiovascular present?","yes","yes"
"55","checkpoint-10000","is anomalous origin present?","no","no"
"56","checkpoint-10000","what is present?","nervous","gastrointestinal"
"57","checkpoint-10000","what is scanty connective tissue stroma seen between?","the cavernous spaces","the cells"
"58","checkpoint-10000","what is present?","female reproductive","cardiovascular"
"59","checkpoint-10000","what is present?","leukoplakia vocal cord","oral"
"60","checkpoint-10000","is renal glomerulus composed of haphazardly interconnecting trabeculae of woven bone that are rimmed by prominent osteoblasts?","no","no"
"61","checkpoint-10000","what is present?","mesothelioma","gastrointestinal"
"62","checkpoint-10000","are x-ray intramyocardial arteries present?","no","no"
"63","checkpoint-10000","what is present?","vasculature","nervous"
"64","checkpoint-10000","what is present?","hepatobiliary","surgical specimen of liver"
"65","checkpoint-10000","why does this image show obvious gangrenous necrosis?","due to shock or embolism postoperative cardiac surgery","of the fingers"
"66","checkpoint-10000","where is this?","lung","thyroid"
"67","checkpoint-10000","is hepatobiliary present?","yes","no"
"68","checkpoint-10000","what does this image show?","normal breast","brain"
"69","checkpoint-10000","is retroperitoneal liposarcoma present?","yes","yes"
"70","checkpoint-10000","what does this image show?","cellular detail well shown","pancreas"
"71","checkpoint-10000","what is present?","liver","gastrointestinal"
"72","checkpoint-10000","is odontoid process subluxation with narrowing of foramen magnum present?","yes","no"
"73","checkpoint-10000","what does this image show?","skin","pancreas"
"74","checkpoint-10000","what is present (top center)?","a perimysial interfascicular septum containing a blood vessel","necrosis"
"75","checkpoint-10000","is leiomyosarcoma present?","no","no"
"76","checkpoint-10000","does this image show heart, acute myocardial infarction?","yes","yes"
"77","checkpoint-10000","what looks like an ascending cholangitis?","this","the liver"
"78","checkpoint-10000","does the blue area demonstrate a well-demarcated nodule at the right of the field, with a portion of urethra seen to the left?","no","no"
"79","checkpoint-10000","is inset enlarged diffusely?","no","yes"
"80","checkpoint-10000","where is this?","oral","gastrointestinal"
"81","checkpoint-10000","does subcapsular hematoma show external view of massively enlarged spleen?","no","no"
